"Date","Title","Content","qwen_lora2_情绪提取"
"2019-12-16 20:30:52","宁波港拟收购江阴苏南40%股权 加码长江港口业务","宁波港公告，公司拟以“基准日股权价值2.86亿元+期间净资产变动值”为对价，收购江阴苏南国际集装箱码头有限公司40%股权。此次收购是公司对接“长江经济带”发展战略、践行江海联运服务中心建设的重要举措。收购完成后，将增强公司在长江港口的业务布局。","情感倾向是积极。"
"2019-12-16 16:53:22","宁波港：拟收购江阴苏南40%股权 加强长江港口业务布局","宁波港(601018)12月16日晚公告，公司拟以“基准日股权价值2.86亿元+期间净资产变动值”为对价，收购江阴苏南国际集装箱码头有限公司40%股权。此次收购是公司对接“长江经济带”发展战略、践行江海联运服务中心建设的重要举措。收购完成后，将增强公司在长江港口的业务布局。","该文本情感是积极的。"
"2019-12-03 16:18:50","宁波港：预计11月份集装箱吞吐量同比增2.4%","宁波港(601018)12月3日晚公告，2019年11月份，公司预计完成集装箱吞吐量230万标准箱，同比增长2.4%；预计完成货物吞吐量6401万吨，同比下降1.8%。","该文本情感是中性的。"
"2019-11-25 07:32:55","宁波港子公司违法遭海关处罚 擅自运货漏过检疫抽查","近日，宁波海关网站公示行政处罚决定书显示，宁波北仑海关对浙江兴港国际货运代理有限公司(以下简称“浙江兴港”)作出处罚，因其擅自将应接受查验货物运递，导致货物未按规定运到指定场地接受检疫查验。记者查询发现，浙江兴港为宁波舟山港股份有限公司(以下简称“宁波港”，股票代码：601018)子公司。经宁波北仑海关调查，2019年10月14日，浙江兴港受厦门建发化工有限公司委托于向宁波北仑海关申报来自泰国的进口货物，货物品名为天然乳胶，报关单号为310420191049909907。该批货物被抽中进行查验，但浙江兴港擅自将其运递，导致货物未按规定运到指定场地接受检疫查验。行政处罚决定书指出，上述行为有情况说明、调查笔录、木质包装/集装箱检疫工作联系单、货物照片等证据材料为证。浙江兴港违反了《中华人民共和国进出境动植物检疫法》第十四条第一款、《中华人民共和国国境卫生检疫法》第四条和《中华人民共和国国境卫生检疫法实施细则》第四条、第十条第一款的有关规定。根据《中华人民共和国进出境动植物检疫法》第三十九条第二项、《中华人民共和国进出境动植物检疫法实施条例》第六十条第一项、《中华人民共和国国境卫生检疫法实施细则》第一百零九条第三项、第一百一十条第一款的有关规定，宁波北仑海关决定对浙江兴港罚款人民币5000元。处罚决定日期为2019年11月12日。行政处罚决定书文号：甬北关法违字[2019]025号。浙江兴港成立于2008年5月16日，为宁波港旗下子公司。宁波港披露2019年半年度报告显示，浙江兴港业务性质为货物运输代理；宁波港持股50.00%。据中国经济网记者统计，三个月内，宁波港子公司遭监管处罚两次。2019年8月28日，舟山市港航和口岸管理局对舟山中澳码头有限公司未经依法批准，建设港口设施使用港口岸线案作出处罚。处罚类型为其他处罚。行政处罚决定书文号：浙港政罚-LE[2019]1。舟山中澳码头有限公司成立于2018年3月27日，为宁波港全资子公司。其股东结构如下：宁波港持股100%，认缴出资3600万元。宁波港主营业务主要包括集装箱、铁矿石、原油、煤炭、液体化工、粮食、黄砂及其他货种装卸及相关业务，同时从事综合物流、贸易销售等其他业务。上半年，实现营业收入111.86亿元，同比增长2.64%；归属于上市公司股东的净利润20.65亿元，同比增长32.11%；经营活动产生的现金流量净额为-5.10亿元，同比下降108.61%。截至11月22日收盘，宁波港报3.57元，总市值为470.27亿元。","情感倾向是中性。"
"2019-11-20 19:09:40","宁波港1月份至10月份运输生产稳中有升","11月20日，据交通运输部最新公布的数据显示，1月份至10月份，宁波港完成货物吞吐量93832万吨，同比增长6.8%；完成集装箱吞吐量2349万标准箱，同比增长5%。港口运输生产形势保持稳中有升。今年以来，宁波港积极应对国际经贸形势和季节性气候等因素带来的影响，持续加强运营管理，紧盯效率提升，不断优化服务和资源配置水平，为全年货物和集装箱吞吐量夺得高产打下坚实基础。公司在集装箱业务方面持续加大港航合作和市场拓展力度，推动杭萧绍、浙北区域重点客户出口项目合作以及水水中转业务；在集装箱航线方面进一步发挥龙头带动作用，保持了远洋干线总体稳定的同时，巩固南北两翼支线业务增长，实现了长江和省外支线整体发展。今年1月份至10月份，宁波港内支线运输量完成152万标准箱，同比增长17.3%。此外，宁波港持续做好布线固点工作，推进重点区域、重点客户及物流项目开发，开辟了海铁联运新线路，启动了进口冷链、铁路箱出口和无轨站等新业务。截至目前，宁波港已开通16条海铁班列及多条成组线路，业务辐射15个省(区、市)、49个地级市。截至十月底，宁波港累计完成海铁联运业务量66万标准箱，同比增长36.4%。宁波港还针对今年来下游铁矿石需求不足现状，持续加大腹地客户走访力度，进一步协调运力，推进全程物流业务，尝试散矿“南矿北运”，确保了铁矿石吞吐量稳中有增。与此同时，积极把握市场动态，争取原油计划外货源，协调优化外输计划，确保了原油接卸量保持增长。值得一提的是，1月份至10月份宁波港黄砂吞吐量实现翻番，带来新的业务增长点，汽车滚装量也已突破21万辆，同比增长60%。","该文本情感是积极的。"
"2019-11-07 20:38:20","宁波港累计靠泊40万吨矿船达100艘次","11月7日，满载着39万吨进口铁矿石的新加坡籍矿船“远卓海”轮顺利靠上宁波港衢山港区鼠浪湖矿石中转码头1号泊位。至此，宁波港自2016年9月份首次试靠40万吨矿船“远见海”轮以来，累计靠泊40万吨矿船总数达100艘次。宁波港衢山港区鼠浪湖矿石中转码头，拥有交通运输部、国家发改委发布通知明确的7个可接靠40万吨矿船泊位中的2个，为全国拥有可接靠40万吨矿船泊位最多的码头。近年来，依托宁波港铁矿石物流体系，鼠浪湖矿石中转码头充分发挥40万吨矿石码头的优势，在积极参与舟山江海联运服务中心建设，打造中国(浙江)自由贸易试验区国际矿石中转储运基地方面成效显著。据悉，鼠浪湖矿石中转码头于2016年1月23日首次挂靠外轮投入试生产后，当年9月23日首靠40万吨矿船“远见海”轮，从此开启了巨轮时代。2016年全年接卸6艘次40万吨矿船，2017年、2018年分别接卸21艘次、28艘次，今年前10个月接卸40万吨矿船达44艘次，预计全年可完成接卸50艘次以上，接卸艘次稳步提升。相比国内其他大型港口的4年甚至8年时间才达到100艘次40万吨矿船靠泊量，鼠浪湖矿石中转码头仅用3年实现。针对日渐增长的40万吨矿船到港量，鼠浪湖矿石中转码头及时增加作业设备，优化接卸方案，作业效率不断提升。三年前，该码头仅有3台卸船机，靠泊到离泊需要100小时以上，如今该码头已拥有7台卸船机，40万吨矿船平均卸船效率也得到大幅提升，净作业时间控制在40小时以内，达到全球领先水平。宁波港表示，下阶段将继续发挥自身的区位优势，抢抓发展机遇，将鼠浪湖矿石中转码头打造成为全国最大的矿石中转码头。","情感倾向是积极。"
"2019-11-03 14:28:37","宁波港：预计10月份货物吞吐量同比增3%","宁波港(601018)11月3日晚间公告，10月份，公司预计完成集装箱吞吐量242.8万标准箱，同比增长2.2%；预计完成货物吞吐量6690万吨，同比增长3.0%。","该文本情感是中性的。"
"2019-10-10 16:07:15","宁波港：前三季货物吞吐量同比预增4.2%","宁波港(601018)10月10日晚间公告，9月份，公司预计完成集装箱吞吐量256.8万标准箱，同比增长1.7%；预计完成货物吞吐量6790万吨，同比下降0.1%。前三季度，公司预计完成集装箱吞吐量2273万标准箱，同比增长6.7%；预计完成货物吞吐量6.13亿吨，同比增长4.2%。","该文本情感是中性的。"
"2019-08-30 23:07:38","宁波港一体两翼 港口发展同步推进","宁波港(601018)今日发布2019年半年报。报告期内，宁波港营收、净利同比双双增长：实现营业收入111.86亿元，同比增长2.64%；实现归属于上市公司股东的净利润20.65亿元，同比增长32.11%；实现基本每股收益0.16元，同比增长33.33%。上半年，宁波港货物吞吐量完成4.06亿吨，同比增长3.7%。从主要货种来看，矿石经营体系接卸量完成5767万吨，同比基本持平；公司煤炭接卸量完成1943.3万吨；原油接卸量完成3963.6万吨，同比增长7.4%；液化油品吞吐量完成917.8万吨，同比增长5.8%；粮食接卸量完成243.9万吨；滚装业务保持高速增长，完成12.8万辆，同比增长120%；经营体系范围内，黄砂接卸量大幅增长，完成2000万吨，同比增长80%。从集装箱吞吐量来看，上半年呈现稳中有进的状态。上半年，宁波港集装箱吞吐量完成1486.1万标箱，同比增长6%。支线业务发展态势良好，同比增长20.3%，其中乍浦线、温州线等增长较快。海铁联运发展势头强劲，完成38.6万标箱，同比增长46.7%。今年上半年，宁波港积极实施“强港兴业”战略，立足“高质量、稳增长、求突破”，全面推动海洋港口一体化高质量发展，取得明显成效。从区域来看，上半年，除宁波舟山港外，由省海港集团委托公司经营的嘉兴港务货物吞吐量和集装箱吞吐量分别同比增长10.6%和14.9%；温州港集团货物吞吐量和集装箱吞吐量分别同比增长6%和27.6%。","该文本情感是积极的。"
"2019-08-30 11:09:37","宁波舟山港股份有限公司第四届董事会第十二次会议决议公告","证券代码：601018 证券简称：宁波港编号：临2019-025本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带责任。一、董事会会议召开情况2019年8月28日，宁波舟山港股份有限公司(以下简称“公司”)在宁波环球航运广场4325会议室以现场结合电话会议的方式召开了第四届董事会第十二次会议。此次会议于2019年8月14日以书面方式通知了全体董事。会议应到董事11名，实到董事11名，董事长毛剑宏、董事宫黎明、蒋一鹏、陈国潘、金星、郑少平、陈志昂、许永斌、杨梧、张四纲、吕靖参加了本次会议。会议达到了《中华人民共和国公司法》和《公司章程》规定的召开董事会法定董事人数。本次会议由公司董事长毛剑宏主持，公司部分监事、高级管理人员列席了会议。二、董事会会议审议情况经过审议，本次会议经表决一致通过全部议案并形成如下决议：(一)审议通过《宁波舟山港股份有限公司2019年半年度报告》(全文及摘要)表决结果：11票同意，0票反对， 0票弃权。(详见上海证券交易所网站)(二)审议通过《关于修订的议案》表决结果：11票同意，0票反对，0票弃权。宁波舟山港股份有限公司董事会二一九年八月三十日","该文本情感是积极的。"
