"Date","Title","Content","qwen_lora2_情绪提取"
"2019-12-31 15:43:19","方正证券盘中最高9.03元，股价创近一年新高","12月31日，方正证券盘中最高价9.03元，股价创近一年新高。截至收盘，方正证券最新价为8.67元，上涨1.17%，全日成交金额达到22.57亿元，换手率3.1%。根据最新收盘价进行计算，方正证券总市值为713.72亿元。Choice数据显示，方正证券近一年的前次股价高点出现在2019年4月8日，当日最高价为8.76元(前复权)，后市未能突破前次高点，股价最低于2019年5月6日下探6.28元(前复权)。以最低点为区间起点计算，2019年5月6日至2019年12月31日，方正证券区间累计涨幅达到34.83%。横向与市场指数和所属行业进行比较，2019年5月6日至2019年12月31日区间内，上证指数同期上涨4.94%，申万二级行业证券同期上涨15.3%。个股表现跑赢上证指数，强于所属申万行业指数。从全市场来看，12月31日沪深两市共有惠发食品、星期六、恩捷股份等71只股票价格创近一年新高。其中惠发食品股价已连续15日创下近一年盘中最高价。","情感倾向是积极的。"
"2019-12-31 11:13:49","从谨慎试探到“倾力回归” 外资券商布局中国十年之变","12月20日，上海黄浦区淮海路中环广场的办公楼里，一间办公室门前摆放着开业花篮——这是野村东方国际，日本第一大券商野村证券在中国的控股证券公司正式开张。仅用了9个月时间，野村东方国际便拿下经纪业务、资产管理等4张牌照。睽违中国市场五年，同为日本四大券商之一的大和证券，也在进行着新一轮在华发展的布局。12月初，大和证券设立控股券商的申请获中国证监会受理。外资券商的“倾力回归”不止于此。摩根大通控股券商于日前获批开业，高盛已申请增资控股高盛高华，瑞银集团则于去年年底增持瑞银证券至51%成为首家外资控股的券商……2001年至今，近二十年间，中国资本市场经历了股权分置改革、新股发行体制改革、CEPA框架及协议签署等重大事件，而中国证券业对外开放的步伐从未停止。2019年，监管明确表态加大金融对外开放，并提出取消外资股比限制时点提前、设立科创板、全面推行注册制等多项举措，MSCI、富时罗素等纳入A股，市场化、法制化与国际化齐头推进，这让持续关注中国境内市场的外资机构看到——这一轮金融开放，非同以往。“在当前时点设立控股券商很关键，在中国市场即将步入变化的最初阶段就要进来。如果等到五年之后整个市场格局已经形成，到时候再进来，其实就没有太多业务发挥的空间了。”野村控股中国委员会主席饭山俊康对第一财经记者称。开放初体验瑞银证券是布局中国市场的先行者。董事长钱于军接受第一财经记者采访时提出了非常坚定的论断——当前国内对外资大规模开放，外资入华布局证券业正当其时。从合资到控股，瑞银证券仅用212天就实现了“华丽转身”。证监会今年5月2日受理其变更实控人申请，7月17日作出第一次反馈意见，11月30日正式核准其变更实际控制人。这距离瑞银2006年第一次入华展业，已经过去了13年时间。期间，中国资本市场历经起伏，外资券商也因为开放政策的逐步推进历经几波“浪潮”——从兑现WTO承诺、CEPA框架吸引港资，再到放开持股比例……从瑞银在中国市场的发展，也可一窥中国证券业对外开放的脉络。2001年底加入WTO后，中国逐步落实“加入后3年内，允许外国证券公司设立合营公司，外资比例不超过1/3”承诺。过渡期开启，外资券商得以第一次“由外向内”推开中国证券业的大门。在此之前，我们仅有中金公司一家合资券商。2002年，证监会发布《外资参股证券公司设立规则》，要求外资股东合计持股比例不得超过49%，经营范围限制为股票、债券的承销与保荐、外资股经纪业务、债券经纪和自营业务。政策刚刚落地，就有机构一马当先抢接“绣球”。","情感倾向是积极。"
"2019-12-28 12:44:25","第四家外资控股券商要来了？瑞信方正证券增资又有重要进展 证监会提出七大反馈意见","时隔一年后，外资瑞士信贷拟增资瑞信方正证券一事又有重要进展。近日，证监会对瑞信方正证券增资扩股及变更实控人申请文件提出7条反馈意见，要求瑞信方正证券30日内落实并提供书面回复和电子文档。反馈意见包括拟增资股东的负债情况、诚信合规情况、完善法律意见书、2019年的盈利情况、内部决策程序、公司章程修改草案以及请方正证券提供切实防范利益冲突的机制安排等。方正证券相关负责人告诉券商中国记者，目前他们正根据反馈意见正常推进。截至目前，国内已有瑞银证券、摩根大通证券中国有限公司、野村东方国际证券有限公司3家外资控股券商。在未考虑CEPA框架券商的情况，星展证券和瑞信方正证券，都有望成为第四家外资控股券商，不过还要等待监管审批。证监会提出7大反馈意见去年6月，方正证券公告称，瑞士信贷银行以非公开协议方式单方面向瑞士方正证券增资，增资完成后持股比例由33%提高到51%，瑞士信贷成为瑞信方正的控股股东；方正证券放弃本次增资权，持股比例降低至49.00%，不再控股瑞信方正。今年7月，瑞信方正向证监会递交本次增资相关的行政许可申请。12月23日，证监会就瑞信方正证券增资扩股及变更实际控制人申请文件给出了7条反馈意见：一、根据申请材料，拟增资股东有大额担保并涉及多项司法、监管和仲裁程序。请拟增资股东及其实际控制人合理估计或有负债金额，并说明是否符合“不存在或有负债达到净资产50%的情形”。二、请拟增资股东提供关于其自身及所控制的机构诚信合规情况的说明。三、目前提供的法律意见书未就拟增资股东是否符合相关法律法规要求的证券公司控股股东及实际控制人资格发表明确的意见，请律师事务所根据《律师事务所从事证券法律业务管理办法》(证监会令第41号)、《律师事务所证券法律业务执业规则(试行)》的要求对法律意见书予以完善。四、请提供拟增资股东2019年盈利情况。五、请公司就此次增资扩股及变更实际控制人事项是否已履行相应的内部决策程序提供说明。六、请提供公司章程修改草案。七、请方正证券提供切实防范利益冲突的机制安排。证监会要求瑞信方正证券30日内落实并提供书面回复和电子文档，证监会收到回复后，将根据情况决定是否再次发出反馈意见。","该文本情感是积极的。"
"2019-12-26 19:02:02","方正证券：控股股东方正集团所持11.1亿股股份被司法冻结","方正证券(601901)12月26日晚间公告，因华宝信托与公司控股股东方正集团公司债券交易纠纷案，方正集团所持部分公司股份被上海金融法院裁定冻结。方正集团所持有的公司股份11.10亿股及其孳息(指通过公司派发的送股、转增股、现金红利)被司法轮候冻结，冻结起始日为2019年12月26日，冻结期限3年。截至目前，方正集团持有公司股份数为22.85亿股，占公司总股本的27.75%。","该文本情感是中性的。"
"2019-12-23 20:21:56","北大方正集团20亿元超短融成功展期 获持有人一致同意","12月23日晚，北大方正集团在上海清算所公告称，公司获得债券持有人一致同意，将20亿元境内超短期融资券(19方正SCP 002)展期至2020年2月21日。同时，北大方正集团已于今日全额兑付该笔债券展期前的全部利息。此外，北大方正集团将以其所持有的9450万股重庆银行股票，为上述债券展期提供增信。经21世纪经济报道记者查询，这应该是继美兰机场发行的10亿元“19 美兰机场 SCP001”于12月12日获得展期后，2019年内市场上第二支获得展期的短期融资券。“19方正SCP 002”获得展期根据北大方正集团发布的公告，北大方正集团2019年度第二期超短期融资券(债券简称：19方正SCP002)持有人会议于2019年12月20日在北京召开。该超短期融资券发行金额20亿元，期限270天。参加本次持有人会议的有表决权的机构共计23家，对应“19方正SCP002”持有人所持有的表决权的100%。经债券持有人表决，全部同意将“19方正SCP002”本金兑付日展期至2020年2月21日，期间利息按照原利率4.94%计息。此外，北大方正集团同意以其持有的重庆银行股份有限公司94,506,878股股份，为“19方正SCP002”延期提供增信。就此次展期事宜，北京国枫律师事务所发布法律意见书指出，本次持有人会议的召集、召开程序符合《持有人会议规程》的规定和《募集说明书》的约定；本次持有人会议的表决程序、表决结果合法有效。“19方正SCP 002” 前期利息已于今日全额兑付根据上述持有人会议决议，对于“19方正SCP002”原存续期间的应计利息，北大方正集团将于12月23日向投资人支付。对于债券持有人延期期间内(2019年12月2日至2020年2月21日)的应计利息，将待本次延期到期日支付。上清所12月23日晚发布消息称，已收到北大方正集团2019年度第二期超短期融资券(代码：011900493，简称：19方正SCP002)的全额利息资金，并根据发行人指定的方式于今日代理完成了上述资金的支付工作。方正其他债券交叉违约风险有望解除据了解，“19方正SCP002”原定于12月1日到期，但有15个工作日的宽限期，即“19方正SCP002”需要在12月23日前偿付或展期，否则可能触发方正集团其他债券的交叉违约条款。本次北大方正集团在宽限期内，成功获得“19方正SCP002”债券持有人一致同意，对债券进行展期，不仅使得这只债券免于违约，并有望因此避免触发近30美元离岸债券的交叉违约。受展期成功讯息影响，今日与北大方正集团相关的数只美元债价格均有所回升。年内第二支成功展期的超短融超短期融资券获持有人一致同意进行展期，在此前市场上已开先河。","情感倾向是积极。"
"2019-12-20 20:14:44","方正证券：控股股东方正集团持有的11.1亿股份被冻结","方正证券晚间公告称，公司收到中国结算上海分公司《股权司法冻结及司法划转通知》。控股股东北大方正集团有限公司所持有的公司股份11.1亿股被司法轮候冻结，冻结起始日为12月20日，冻结期限为3年。","以上文本情感极性属于中性。"
"2019-12-20 10:30:15","券商板块拉升 方正证券、南京证券涨停","12月20日早盘，券商板块拉升。截至10:08，方正证券、南京证券涨停，东兴证券、天风证券、中信建投、浙商证券等均有拉升表现。","情感倾向是积极的。"
"2019-12-16 21:52:28","方正证券董监事会换届选举","方正证券12月16日晚间公告，公司当天的股东大会选举了新一届的董监事会成员。获选董事包括施华、高利、何亚刚、廖航、汪辉文、胡滨，独立董事有叶林、李明高、吕文栋，以上9人皆为连任。施华2018年1月至今任方正证券党委书记，2018年9月10日至今任方正证券董事长、法定代表人。","该文本情感是中性的。"
"2019-12-08 00:27:26","北大方正爆雷波及旗下上市公司！两公司59亿市值股份遭冻结","北大方正的债券违约事件正上演连锁反应！12月6日晚间，上市公司方正证券和中国高科双双发布公告称，大股东北大方正所持部分公司股份被司法冻结。其中，北大方正持有方正证券8.49亿股及孽息被司法冻结；北大方正持有中国高科3048.3万股也被司法冻结。据统计，两家上市公司被冻结股份的市值合计达59亿元，此外还有市值约17.63亿元的方正证券股份被轮候冻结。截至12月2日，北大方正还有未到期债券23只，余额总计345.4亿元，其中未来一年内到期债券余额为235.9亿元，偿付压力显然不小。值得注意的是，风波下的北大方正，此前传出拟引入大型央企为战略投资人的消息。此后又有消息称，珠海国资委已派专人负责北大方正的并购重组。所持两家上市公司股份遭冻结，市值合计达59亿元公开资料显示，北大方正是北京大学于1986年投资创办的大型国有控股企业集团，旗下拥有方正科技、方正控股、北大医药、北大资源、方正证券、中国高科等6家上市公司。在爆出债券违约后，北大方正显然麻烦不小。12月6日晚间，北大方正旗下上市公司方正证券和中国高科双双发布公告称，大股东北大方正所持部分公司股份被司法冻结。其中，方正证券公告称，中国证券登记结算有限公司上海分公司根据甘肃省兰州市中级人民法院民事裁定书，对北大方正所持公司8.49亿股及孽息进行了冻结，冻结起始日为12月6日，冻结期限为三年；此外，还对北大方正所持公司2.6亿股及孽息进行了轮候冻结，冻结期限为三年，自转为正式冻结之日起计算。值得注意的是，北大方正共持有方正证券22.85亿股，占总股本的27.75%。如今北大方正被冻结8.49亿股，占到北大方正所持股份的37.16%，按照12月6日方正证券的收盘价计算，被冻结股份市值约为57.56亿元。方正证券表示，此次公司控股股东所持部分公司股份被司法冻结事项，不会对公司日常经营、公司治理等产生影响。与此同时，北大方正持有另外一家上市公司中国高科的股份也遭到股份冻结。中国高科公告称，公司控股股东北大方正所持公司3048.3万股无限售流通股(占公司总股本的5.20%)被司法冻结，按照当前收盘价计算，冻结股份价值1.46亿元。截至该公告披露日，北大方正持有中国高科股份数为1.17亿股，占该公司总股本的比例为20.03%。数据显示，两家上市公司被冻结股份的市值合计将达59亿元，此外还有市值约17.63亿元的方正证券股份被轮候冻结。","以上文本情感是消极的。"
"2019-12-06 19:58:36","方正证券：方正集团所持公司8.49亿股及孽息被司法冻结","方正证券公告称，方正集团所持公司8.49亿股及孽息(指派发的送股、转增股、现金红利)被司法冻结。","情感倾向是消极。"
